,acronym,full,full_select
237,sosu,Southeastern Oklahoma State University,Southeastern Oklahoma State University
238,spu,Seattle Pacific University,Seattle Pacific University
239,sru,Slippery Rock University of Pennsylvania,Slippery Rock University of Pennsylvania
240,ssu,"Savannah State University, California State University, Sonoma",Savannah State University
241,state,any of various state universities,
242,su,"Southwestern University, Shenandoah University, Southern University, Stanford University, Susquehanna University, Syracuse University, Salisbury University",Southern University
243,sui,State University of Iowa,State University of Iowa
244,suu,Southern Utah University,Southern Utah University
245,suny,State University of New York system,State University of New York system
246,swosu,Southwestern Oklahoma State University,Southwestern Oklahoma State University
247,tamu,Texas A&M University,Texas A&M University
248,tamucc,Texas A&M University‰ÛÒCorpus Christi,Texas A&M University Corpus Christi
249,tcnj,The College of New Jersey,The College of New Jersey
250,tcu,Texas Christian University,Texas Christian University
251,tech,"any ""Institute of Technology,"" ""Tech University,"" ""Polytechnic,"" etc. (See list of institutions using the term ""institute of technology"" or ""polytechnic"")",
252,tsu,"Tarleton State University, Tennessee State University, Texas Southern University, Truman State University",Texas Southern University
253,ttu,Texas Tech University,Texas Tech University
254,tu,"Temple University, Towson University, Tufts University, Tulane University, University of Tulsa","Temple University, Towson University, Tufts University, Tulane University, University of Tulsa"
