,Major element,major guess,social sciences,arts & humanities,business & management,natural sciences,engineering,health professions,other
2592,mid east st,middle eastern studies,1,,,,,,
2593,global multinational studies,international studies,1,,,,,,
2594,risk mgmt,risk management,,,1,,,,
2595,management info,management,,,1,,,,
2596,music ed,music,,1,,,,,
2597,applied nutrition,applied nutrition,,,,,,1,
2598,minor political scien,political science,1,,,,,,
2599,math intensive econ,economics,,,1,,,,
2600,intl management,international management,,,1,,,,
2601,newsp,journalism,,1,,,,,
2602,business strategy,business management,,,1,,,,
2603,criminal justice minor,criminal justice,1,,,,,,
2604,corporate financial management,financial management,,,1,,,,
2605,macc,accounting,,,1,,,,
2606,multimedia journalism,journalism,,1,,,,,
2607,politics philosophy,philosophy,,1,,,,,
2608,o comm,commerce,,,1,,,,
2609,ba in political science,political science,1,,,,,,
2610,maste,,,,,,,,
2611,pro,,,,,,,,
2612,minor neuroscie,neuroscience,,,,1,,,
2613,minor nat,,,,,,,,
2614,',,,,,,,,
2615,marine bio,marine biology,,,,1,,,
2616,busines,business,,,1,,,,
2617,labor rel,labor relations,,,1,,,,
2618,foreign l,foreign language,,1,,,,,
